timestamp, eventType, delayFromPrevious, id, triggeredByEventID, triggersEventID
1.7;Background;1.7;0;-1;-1
2.8;Background;1.1;1;-1;-1
4.6;Background;1.8;2;-1;-1
5.7;Background;1.1;3;-1;0
5.7;Stimulus;5.7;0;3;-1
7.5;Background;1.8;4;-1;-1
9;Background;1.5;5;-1;1
9;Stimulus;3.3;1;5;-1
10.8;Background;1.8;6;-1;-1
12.2;Background;1.4;7;-1;-1
13.5;Background;1.3;8;-1;2
13.5;Stimulus;4.5;2;8;0
13.5;Probe;13.5;0;2;-1
14.6;Background;1.1;9;-1;-1
16.3;Background;1.7;10;-1;-1
17.6;Background;1.3;11;-1;-1
18.6;Background;1;12;-1;3
18.6;Stimulus;5.1;3;12;-1
20.6;Background;2;13;-1;-1
22.5;Background;1.9;14;-1;4
22.5;Stimulus;3.9;4;14;-1
23.9;Background;1.4;15;-1;-1
25.5;Background;1.6;16;-1;-1
26.8;Background;1.3;17;-1;-1
28.5;Background;1.7;18;-1;5
28.5;Stimulus;6;5;18;-1
30.3;Background;1.8;19;-1;-1
31.5;Background;1.2;20;-1;6
31.5;Stimulus;3;6;20;1
31.5;Probe;18;1;6;-1
32.7;Background;1.2;21;-1;-1
34.1;Background;1.4;22;-1;-1
35.6;Background;1.5;23;-1;-1
36.6;Background;1;24;-1;7
36.6;Stimulus;5.1;7;24;-1
38.1;Background;1.5;25;-1;-1
39.4;Background;1.3;26;-1;-1
41.1;Background;1.7;27;-1;-1
42.3;Background;1.2;28;-1;8
42.3;Stimulus;5.7;8;28;2
42.3;Probe;10.8;2;8;-1
43.7;Background;1.4;29;-1;-1
45.3;Background;1.6;30;-1;-1
46.5;Background;1.2;31;-1;9
46.5;Stimulus;4.2;9;31;-1
48.4;Background;1.9;32;-1;-1
49.5;Background;1.1;33;-1;-1
51.3;Background;1.8;34;-1;10
51.3;Stimulus;4.8;10;34;-1
53;Background;1.7;35;-1;-1
54.8;Background;1.8;36;-1;-1
55.8;Background;1;37;-1;11
55.8;Stimulus;4.5;11;37;-1
57.8;Background;2;38;-1;-1
59;Background;1.2;39;-1;-1
60.4;Background;1.4;40;-1;12
60.4;Stimulus;4.6;12;40;3
60.4;Probe;18.1;3;12;-1
61.8;Background;1.4;41;-1;-1
62.9;Background;1.1;42;-1;-1
64.8;Background;1.9;43;-1;-1
65.8;Background;1;44;-1;13
65.8;Stimulus;5.4;13;44;-1
67.8;Background;2;45;-1;-1
69.4;Background;1.6;46;-1;14
69.4;Stimulus;3.6;14;46;4
69.4;Probe;9;4;14;-1
71.3;Background;1.9;47;-1;-1
72.3;Background;1;48;-1;-1
74.2;Background;1.9;49;-1;15
74.2;Stimulus;4.8;15;49;-1
75.7;Background;1.5;50;-1;-1
77.3;Background;1.6;51;-1;-1
78.4;Background;1.1;52;-1;16
78.4;Stimulus;4.2;16;52;-1
80.2;Background;1.8;53;-1;-1
81.6;Background;1.4;54;-1;-1
82.9;Background;1.3;55;-1;17
82.9;Stimulus;4.5;17;55;5
82.9;Probe;13.5;5;17;-1
84.9;Background;2;56;-1;-1
85.9;Background;1;57;-1;18
85.9;Stimulus;3;18;57;-1
87.8;Background;1.9;58;-1;-1
89.5;Background;1.7;59;-1;19
89.5;Stimulus;3.6;19;59;-1
91.5;Background;2;60;-1;-1
92.5;Background;1;61;-1;-1
94;Background;1.5;62;-1;-1
95.5;Background;1.5;63;-1;20
95.5;Stimulus;6;20;63;6
95.5;Probe;12.6;6;20;-1
96.8;Background;1.3;64;-1;-1
98.2;Background;1.4;65;-1;-1
99.4;Background;1.2;66;-1;21
99.4;Stimulus;3.9;21;66;-1
101.1;Background;1.7;67;-1;-1
102.7;Background;1.6;68;-1;-1
104.5;Background;1.8;69;-1;22
104.5;Stimulus;5.1;22;69;-1
106.4;Background;1.9;70;-1;-1
108.4;Background;2;71;-1;23
108.4;Stimulus;3.9;23;71;-1
109.8;Background;1.4;72;-1;-1
111.3;Background;1.5;73;-1;-1
112.6;Background;1.3;74;-1;24
112.6;Stimulus;4.2;24;74;7
112.6;Probe;17.1;7;24;-1
114.5;Background;1.9;75;-1;-1
115.6;Background;1.1;76;-1;25
115.6;Stimulus;3;25;76;-1
117.1;Background;1.5;77;-1;-1
118.7;Background;1.6;78;-1;-1
120;Background;1.3;79;-1;-1
121;Background;1;80;-1;26
121;Stimulus;5.4;26;80;-1
