miniBlocks1,miniBlocks2,miniBlocks3,miniBlocks4,miniBlocks5,miniBlocks6,miniBlocks7,miniBlocks8,miniBlocks9,miniBlocks10,miniBlocks11,miniBlocks12,miniBlocks13,miniBlocks14,miniBlocks15,miniBlocks16,miniBlocks17,miniBlocks18,miniBlocks19,miniBlocks20,miniBlocks21,miniBlocks22,miniBlocks23,miniBlocks24,miniBlocks25,miniBlocks26,miniBlocks27,miniBlocks28,miniBlocks29,miniBlocks30,miniBlocks31,miniBlocks32,miniBlocks33,miniBlocks34,miniBlocks35,miniBlocks36,miniBlocks37,miniBlocks38,miniBlocks39,miniBlocks40,miniBlocks41,miniBlocks42,miniBlocks43,miniBlocks44,miniBlocks45,miniBlocks46,miniBlocks47,miniBlocks48,miniBlocks49,miniBlocks50,miniBlocks51,miniBlocks52,miniBlocks53,miniBlocks54,miniBlocks55,miniBlocks56,miniBlocks57,miniBlocks58,miniBlocks59,miniBlocks60,miniBlocks61,miniBlocks62,miniBlocks63,miniBlocks64,miniBlocks65,miniBlocks66,miniBlocks67,miniBlocks68,miniBlocks69,miniBlocks70,miniBlocks71,miniBlocks72,miniBlocks73,miniBlocks74,miniBlocks75,miniBlocks76,miniBlocks77,miniBlocks78,miniBlocks79,miniBlocks80,miniBlocks81,miniBlocks82,miniBlocks83,miniBlocks84,miniBlocks85,miniBlocks86,miniBlocks87,miniBlocks88,miniBlocks89,miniBlocks90,miniBlocks91,miniBlocks92,miniBlocks93,miniBlocks94,miniBlocks95,miniBlocks96,miniBlocks97,miniBlocks98,miniBlocks99,miniBlocks100,miniBlocks101,miniBlocks102,miniBlocks103,miniBlocks104,miniBlocks105,miniBlocks106,miniBlocks107,miniBlocks108,miniBlocks109,miniBlocks110,miniBlocks111,miniBlocks112,miniBlocks113,miniBlocks114,miniBlocks115,miniBlocks116,miniBlocks117,miniBlocks118,miniBlocks119,miniBlocks120,miniBlocks121,miniBlocks122,miniBlocks123,miniBlocks124,miniBlocks125,miniBlocks126,miniBlocks127,miniBlocks128,miniBlocks129,miniBlocks130,miniBlocks131,miniBlocks132,miniBlocks133,miniBlocks134,miniBlocks135,miniBlocks136,miniBlocks137,miniBlocks138,miniBlocks139,miniBlocks140,miniBlocks141,miniBlocks142,miniBlocks143,miniBlocks144,miniBlocks145,miniBlocks146,miniBlocks147,miniBlocks148,miniBlocks149,miniBlocks150,miniBlocks151,miniBlocks152,miniBlocks153,miniBlocks154,miniBlocks155,miniBlocks156,miniBlocks157,miniBlocks158,miniBlocks159,miniBlocks160,miniBlocks161,miniBlocks162,miniBlocks163,miniBlocks164,miniBlocks165,miniBlocks166,miniBlocks167,miniBlocks168,miniBlocks169,miniBlocks170,miniBlocks171,miniBlocks172,miniBlocks173,miniBlocks174,miniBlocks175,miniBlocks176,miniBlocks177,miniBlocks178,miniBlocks179,miniBlocks180,miniBlocks181,miniBlocks182,miniBlocks183,miniBlocks184,miniBlocks185,miniBlocks186,miniBlocks187,miniBlocks188,miniBlocks189,miniBlocks190,miniBlocks191,miniBlocks192,miniBlocks193,miniBlocks194,miniBlocks195,miniBlocks196,miniBlocks197,miniBlocks198,miniBlocks199,miniBlocks200,miniBlocks201,miniBlocks202,miniBlocks203,miniBlocks204,miniBlocks205,miniBlocks206,miniBlocks207,miniBlocks208,miniBlocks209,miniBlocks210,miniBlocks211,miniBlocks212,miniBlocks213,miniBlocks214,miniBlocks215,miniBlocks216,miniBlocks217,miniBlocks218,miniBlocks219,miniBlocks220,miniBlocks221,miniBlocks222,miniBlocks223,miniBlocks224,miniBlocks225,miniBlocks226,miniBlocks227,miniBlocks228,miniBlocks229,miniBlocks230,miniBlocks231,miniBlocks232,miniBlocks233,miniBlocks234,miniBlocks235,miniBlocks236,miniBlocks237,miniBlocks238,miniBlocks239,miniBlocks240,miniBlocks241,miniBlocks242,miniBlocks243,miniBlocks244,miniBlocks245,miniBlocks246,miniBlocks247,miniBlocks248,miniBlocks249,miniBlocks250,miniBlocks251,miniBlocks252,miniBlocks253,miniBlocks254,miniBlocks255,miniBlocks256,miniBlocks257,miniBlocks258,miniBlocks259,miniBlocks260,miniBlocks261,miniBlocks262,miniBlocks263,miniBlocks264,miniBlocks265,miniBlocks266,miniBlocks267,miniBlocks268,miniBlocks269,miniBlocks270,miniBlocks271,miniBlocks272,miniBlocks273,miniBlocks274,miniBlocks275,miniBlocks276,miniBlocks277,miniBlocks278,miniBlocks279,miniBlocks280,miniBlocks281,miniBlocks282,miniBlocks283,miniBlocks284,miniBlocks285,miniBlocks286,miniBlocks287,miniBlocks288,miniBlocks289,miniBlocks290,miniBlocks291,miniBlocks292,miniBlocks293,miniBlocks294,miniBlocks295,miniBlocks296,miniBlocks297,miniBlocks298,miniBlocks299,miniBlocks300,miniBlocks301,miniBlocks302,miniBlocks303,miniBlocks304,miniBlocks305,miniBlocks306,miniBlocks307,miniBlocks308,miniBlocks309,miniBlocks310,miniBlocks311,miniBlocks312,miniBlocks313,miniBlocks314,miniBlocks315,miniBlocks316,miniBlocks317,miniBlocks318,miniBlocks319,miniBlocks320,miniBlocks321,miniBlocks322,miniBlocks323,miniBlocks324,miniBlocks325,miniBlocks326,miniBlocks327,miniBlocks328,miniBlocks329,miniBlocks330,miniBlocks331,miniBlocks332,miniBlocks333,miniBlocks334,miniBlocks335,miniBlocks336,miniBlocks337,miniBlocks338,miniBlocks339,miniBlocks340,miniBlocks341,miniBlocks342,miniBlocks343,miniBlocks344,miniBlocks345,miniBlocks346,miniBlocks347,miniBlocks348,miniBlocks349,miniBlocks350,miniBlocks351,miniBlocks352,miniBlocks353,miniBlocks354,miniBlocks355,miniBlocks356,miniBlocks357,miniBlocks358,miniBlocks359,miniBlocks360,miniBlocks361,miniBlocks362,miniBlocks363,miniBlocks364,miniBlocks365,miniBlocks366,miniBlocks367,miniBlocks368,miniBlocks369,miniBlocks370,miniBlocks371,miniBlocks372,miniBlocks373,miniBlocks374,miniBlocks375,miniBlocks376,miniBlocks377,miniBlocks378,miniBlocks379,miniBlocks380,miniBlocks381,miniBlocks382,miniBlocks383,miniBlocks384,miniBlocks385,miniBlocks386,miniBlocks387,miniBlocks388,miniBlocks389,miniBlocks390,miniBlocks391,miniBlocks392,miniBlocks393,miniBlocks394,miniBlocks395,miniBlocks396,miniBlocks397,miniBlocks398,miniBlocks399,miniBlocks400,miniBlocks401,miniBlocks402,miniBlocks403,miniBlocks404,miniBlocks405,miniBlocks406,miniBlocks407,miniBlocks408,miniBlocks409,miniBlocks410,miniBlocks411,miniBlocks412,miniBlocks413,miniBlocks414,miniBlocks415,miniBlocks416,miniBlocks417,miniBlocks418,miniBlocks419,miniBlocks420,miniBlocks421,miniBlocks422,miniBlocks423,miniBlocks424,miniBlocks425,miniBlocks426,miniBlocks427,miniBlocks428,miniBlocks429,miniBlocks430
,1,,1,1006,2013,18,,,,,1,4114,1113,4317,2302,1115,1119,3317,3109,2113,1109,2213,4108,3113,3114,2111,2107,4114,2215,NaN,1,0.5,1.5,1.5,0.5,1,0.5,1,0.5,1,0.5,1.5,1,1,1,1,1.5,0.5,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.06666666666667,2.68333333333333,2.73333333333333,2.71666666666667,2.71666666666667,2.55,3.43333333333333,2.55,2.56666666666667,2.88333333333333,3.75,2.5,3.03333333333333,2.7,2.98333333333333,2.91666666666667,2.68333333333333,2.81666666666667,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,,1,1001,2008,19,,,,,2,1101,1119,4106,1201,2312,3202,2303,4308,4107,1206,2208,3108,2209,2211,3118,1109,4105,1311,3219,1,1.5,0.5,1.5,1,1.5,0.5,1,1.5,1,1,1.5,0.5,1,1,0.5,0.5,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.61666666666667,2.95,2.56666666666667,2.51666666666667,3.4,2.5,2.85,2.85,2.81666666666667,2.73333333333333,2.83333333333333,2.75,3.33333333333333,3.01666666666667,2.91666666666667,3.33333333333333,2.9,3.53333333333333,4.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,,2,3001,4016,19,,,,,3,2212,4210,1210,1305,4116,4112,2111,4216,3207,3112,4111,4116,2110,3318,1311,4312,3215,2119,1305,1,1.5,1,1,1.5,1,0.5,0.5,1.5,1,0.5,1.5,1,1,0.5,1,0.5,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.91666666666667,2.91666666666667,3.68333333333333,2.88333333333333,2.66666666666667,3.23333333333333,2.55,2.65,3.23333333333333,2.93333333333333,3.31666666666667,3.26666666666667,2.66666666666667,2.93333333333333,2.51666666666667,3.66666666666667,2.93333333333333,3.36666666666667,2.73333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,,2,3008,4011,18,,,,,4,2204,4209,1107,4320,1109,2112,4118,4110,3208,1117,3215,3208,2313,1119,3311,2214,3111,3109,NaN,1,1.5,1.5,1.5,1.5,1,1,1.5,1.5,1,1.5,1,0.5,1.5,1.5,1.5,1.5,0.5,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.55,3.73333333333333,2.75,2.6,2.75,3.16666666666667,3.16666666666667,3.15,2.86666666666667,2.6,3.83333333333333,2.85,2.63333333333333,4.93333333333333,2.75,4.55,2.96666666666667,2.55,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,,2,3003,4009,18,,,,,5,1320,4101,2203,3314,3210,4112,4309,1220,2218,4312,4107,3120,1311,1210,2205,3315,2206,4109,NaN,0.5,1.5,0.5,1,1.5,0.5,0.5,1,0.5,1,0.5,1,1,1.5,1.5,0.5,0.5,1,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.35,2.88333333333333,3.21666666666667,2.5,2.66666666666667,3.4,2.65,2.63333333333333,2.6,2.88333333333333,2.6,3.15,2.6,2.55,2.91666666666667,2.66666666666667,3.01666666666667,4.28333333333333,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,,2,3015,4008,17,,,,,6,4218,4308,3218,1101,1213,3111,1307,2307,3309,4214,4320,2207,3106,1219,2309,4206,2108,NaN,NaN,0.5,1,1,0.5,0.5,0.5,1.5,1,1.5,1,1.5,0.5,1.5,0.5,1,0.5,1,NaN,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.71666666666667,4.2,2.53333333333333,2.58333333333333,2.5,2.66666666666667,2.85,2.83333333333333,3.05,2.95,3.33333333333333,2.56666666666667,2.61666666666667,2.58333333333333,2.95,2.55,2.83333333333333,NaN,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,,1,1018,2012,18,,,,,7,4118,3206,4304,1301,3314,1119,4113,1114,1118,2114,4219,2104,3211,1109,1218,3317,2114,2207,NaN,1,1.5,1,0.5,1.5,1.5,0.5,1.5,1.5,0.5,1.5,1.5,1,1,1.5,1,0.5,1.5,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.83333333333333,2.78333333333333,3.06666666666667,3.03333333333333,2.85,2.78333333333333,2.65,2.66666666666667,2.93333333333333,2.7,2.76666666666667,3.03333333333333,2.8,2.85,2.71666666666667,3.2,2.83333333333333,2.88333333333333,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,,1,1012,2006,17,,,,,8,3217,1102,2113,1112,2108,3115,3209,4216,1302,4111,3303,1119,2102,2205,4215,1217,4319,NaN,NaN,1.5,1.5,1,0.5,0.5,1,1.5,1.5,0.5,1,1.5,0.5,1.5,1.5,1.5,1,0.5,NaN,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.51666666666667,2.86666666666667,3,3.35,2.6,2.6,2.88333333333333,2.73333333333333,4.33333333333333,2.95,2.98333333333333,3,2.6,2.66666666666667,2.58333333333333,2.51666666666667,2.7,NaN,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,,1,1015,2014,18,,,,,9,4203,3106,1311,4118,2114,2112,1112,1315,1104,2106,4312,3104,3306,2115,1117,2213,3110,4111,NaN,1,0.5,1.5,1.5,0.5,1,1,1.5,1,0.5,1.5,1,0.5,0.5,0.5,1,1,1.5,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.53333333333333,2.83333333333333,3,3.98333333333333,3.15,3.15,3.8,2.58333333333333,3.45,3.85,2.73333333333333,2.81666666666667,2.58333333333333,3.26666666666667,3.7,2.85,2.66666666666667,2.55,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,,1,1013,2015,19,,,,,10,3210,1305,3307,4208,2303,1304,1314,2304,2115,3305,3309,2215,4101,2115,2310,4203,4204,1309,2302,0.5,1,1.5,0.5,1.5,1,1.5,1.5,1,1.5,1,1.5,1.5,1,1,0.5,0.5,1.5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.15,3.56666666666667,2.53333333333333,3.2,3.35,2.73333333333333,3.2,2.75,4.3,3.61666666666667,2.63333333333333,2.68333333333333,2.68333333333333,2.93333333333333,4.43333333333333,2.75,3.2,3.03333333333333,3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
